MLAI        ALA         CrownCover  HsD         N           Cab         Car         Cdm         CwRel       Cbp         Bs          
1.504       46.88       0.9428      0.4915      1.781       79.59       19.9        0.007799    0.8248      0.3003      0.185       
0.3627      26.59       0.9504      0.2836      1.873       84.81       21.2        0.00694     0.6852      0.9934      0.04412     
0.602       32.59       0.9645      0.2462      1.689       71.07       17.77       0.008358    0.6296      1.289       0.2972      
1.728       45.68       0.9622      0.233       1.271       59.87       14.97       0.004995    0.7116      1.179       0.7281      
1.044       30.97       0.9607      0.2235      1.87        48.9        12.22       0.007754    0.7565      0.5408      0.9162      
2.254       32.98       0.9499      0.2608      1.607       28.38       7.094       0.006053    0.7987      1.094       0.4524      
1.515       18.95       0.9474      0.2104      1.722       41.02       10.25       0.006844    0.7835      0.027       0.9061      
2.534       52.89       0.948       0.1731      1.751       53.61       13.4        0.007737    0.6443      0.3325      0.834       
1.388       73.86       0.9458      0.4613      2.056       82.78       20.7        0.01011     0.6318      0.3473      0.918       
1.939       69.82       0.943       0.1813      1.929       64.02       16          0.005616    0.7763      0.1823      0.535       
1.863       16.63       0.9459      0.3743      1.265       28.63       7.156       0.00683     0.7308      0.4583      0.1091      
1.174       12.55       0.9651      0.1055      1.517       23.36       5.839       0.004274    0.7392      0.9594      0.7761      
1.757       44.24       0.9378      0.1125      1.797       50.79       12.7        0.003813    0.7301      1.632       0.1378      
2.422       52.46       0.94        0.2173      1.935       43.07       10.77       0.007622    0.6459      0.2079      0.3471      
1.892       70.93       0.9276      0.1308      1.937       40.89       10.22       0.008097    0.6502      0.462       0.4523      
1.533       21.39       0.9292      0.1891      2.091       78.18       19.54       0.009717    0.7119      0.7437      0.271       
3.04        48          0.9294      0.1485      1.889       37.63       9.407       0.006114    0.6666      1.099       0.3488      
2.171       26.3        0.9204      0.2763      1.573       54.59       13.65       0.00527     0.7629      1.548       0.8871      
2.399       40.88       0.9289      0.1184      1.475       71.43       17.86       0.003714    0.794       1.134       0.2825      
0.5343      51.14       0.9871      0.45        1.479       46.68       11.67       0.004607    0.7667      0.3117      0.7276      
1.525       24.25       0.9615      0.3321      1.342       81.64       20.41       0.01006     0.6982      1.17        0.3464      
0.9798      29.05       0.9448      0.3831      2.104       26.52       6.629       0.004967    0.7755      0.582       0.4605      
1.986       48.26       0.9338      0.1932      2.031       47.2        11.8        0.004924    0.7757      0.09702     0.1676      
1.451       25.78       0.9623      0.4701      1.71        34.86       8.715       0.007823    0.663       0.2967      0.4258      
1.657       56.22       0.9397      0.4569      1.405       75.26       18.81       0.004906    0.8013      1.245       0.346       
0.9926      24.38       0.9485      0.4906      1.348       61.51       15.38       0.004645    0.7174      1.515       0.5554      
0.5277      53.27       0.974       0.429       1.948       85.89       21.47       0.008157    0.7957      1.49        0.4565      
0.9613      64.87       0.9736      0.3984      1.48        66.22       16.55       0.005607    0.7411      0.5089      0.9384      
1.267       24.32       0.9711      0.2644      1.445       77.75       19.44       0.007634    0.8033      0.7368      0.1641      
0.902       75.07       0.9772      0.1703      1.485       83.1        20.78       0.005187    0.75        1.376       0.1066      
0.835       25.59       0.974       0.3363      1.654       57.72       14.43       0.008009    0.6185      0.5364      0.4717      
0.1366      46.28       0.9645      0.255       2.005       75.07       18.77       0.01048     0.8333      1.527       0.9819      
2.13        66.84       0.9536      0.4586      1.935       73.91       18.48       0.004584    0.7306      1.229       0.8557      
1.203       26.36       0.9373      0.2486      1.705       30.19       7.549       0.004788    0.7648      0.8185      0.7985      
0.7386      19.61       0.9571      0.4757      1.789       54.75       13.69       0.007207    0.7629      1.003       0.8634      
0.4972      74.7        0.9829      0.4152      1.984       87.31       21.83       0.00529     0.7385      0.7547      0.9552      
1.01        23.72       0.9576      0.2913      2.048       26.57       6.642       0.003874    0.7505      1.51        0.3684      
2.048       44.75       0.9207      0.45        1.418       37.77       9.443       0.009715    0.6608      1.583       0.6754      
3.244       28.45       0.906       0.4343      1.842       34.58       8.645       0.0056      0.682       0.03264     0.1868      
1.954       52.99       0.9606      0.264       2.035       68.75       17.19       0.006508    0.6945      0.1338      0.3872      
1.866       37.74       0.9483      0.3263      1.824       53.78       13.44       0.006231    0.8123      0.07988     0.8277      
3.302       51.06       0.9327      0.4971      1.579       63.58       15.89       0.004884    0.8059      0.264       0.3661      
1.158       69.12       0.9382      0.3275      1.852       73.11       18.28       0.006149    0.732       0.6143      0.7387      
1.556       45.95       0.9662      0.1055      1.456       68.65       17.16       0.003952    0.7434      0.4982      0.5562      
2.761       14.88       0.9328      0.3104      1.559       70.94       17.73       0.007046    0.8111      0.2058      0.4333      
2.694       37.24       0.9325      0.3147      1.463       47.97       11.99       0.00704     0.7943      0.529       0.5866      
0.6384      53.05       0.9542      0.2186      1.913       77.84       19.46       0.00583     0.7294      1.55        0.5334      
1.848       65.98       0.9464      0.4044      1.841       61.11       15.28       0.006725    0.8215      0.6025      0.5171      
4.135       60.95       0.9152      0.3658      1.444       58.69       14.67       0.004751    0.769       0.2556      0.4791      
3.287       58.83       0.9052      0.2299      1.836       50.01       12.5        0.006919    0.7954      0.6978      0.4577      
3.514       38.95       0.9095      0.3436      1.773       36.07       9.017       0.008261    0.6723      0.2503      0.3313      
0.867       45.9        0.9552      0.3348      1.797       84.94       21.24       0.008161    0.6347      0.2328      0.2262      
0.432       31.88       0.9684      0.1702      1.342       88.01       22          0.003366    0.6366      1.451       0.3206      
0.5354      48.85       0.9614      0.3459      1.683       60.66       15.17       0.0097      0.748       0.04786     0.5297      
0.6423      66.64       0.9866      0.4998      1.34        37.21       9.302       0.009594    0.7643      0.1114      0.6644      
0.7537      31.88       0.9515      0.272       2.086       24.98       6.244       0.00704     0.821       1.642       0.5617      
1.689       45.61       0.9536      0.4067      1.646       56.39       14.1        0.004928    0.6989      0.2349      0.5535      
3.762       30.56       0.9241      0.2059      1.458       30.19       7.547       0.00727     0.7017      0.2215      0.5302      
1.153       73.22       0.9716      0.2279      2.09        25.82       6.454       0.004806    0.7675      1.685       0.1304      
3.115       16.7        0.9275      0.1863      1.645       29.2        7.3         0.00822     0.7558      0.7091      0.3227      
2.592       47.2        0.9154      0.4732      1.656       43.83       10.96       0.004878    0.7238      1.349       0.792       
1.187       14.5        0.9682      0.2254      1.479       26.21       6.552       0.003697    0.678       0.591       0.9252      
0.08274     63.62       0.9829      0.4279      1.567       47.62       11.91       0.00805     0.6822      1.842       0.07411     
2.536       26.98       0.9376      0.2939      1.757       65.92       16.48       0.003783    0.6988      1.487       0.3795      
0.1394      51.63       0.9738      0.1418      1.659       86.61       21.65       0.004759    0.7074      1.894       0.2771      
3.689       19.3        0.8964      0.481       1.813       53.01       13.25       0.004489    0.787       1.015       0.659       
1.571       42.09       0.9546      0.1066      1.997       29.13       7.281       0.003357    0.7662      0.9458      0.4326      
0.8693      10.98       0.939       0.487       1.459       67.25       16.81       0.005823    0.7917      0.7928      0.2366      
3.473       27.92       0.9075      0.4974      1.532       31.06       7.764       0.004602    0.8124      0.6313      0.7194      
1.668       45.11       0.958       0.4176      1.253       58.11       14.53       0.008387    0.7666      0.2119      0.08633     
0.3413      39.75       0.9619      0.2535      1.444       38.56       9.64        0.007029    0.703       1.598       0.7775      
2.052       12.55       0.9305      0.3808      1.445       77.8        19.45       0.008554    0.6576      0.3988      0.7575      
0.2319      76.99       0.9669      0.2466      1.477       29.86       7.465       0.006227    0.7851      1.925       0.922       
1.571       59.06       0.9404      0.1348      1.866       60.14       15.04       0.003698    0.6507      0.9601      0.1187      
0.8318      15.31       0.9708      0.2691      1.592       84.41       21.1        0.008465    0.7297      0.6689      0.1445      
1.671       53.18       0.9305      0.1089      1.268       30.43       7.607       0.006797    0.8311      0.6851      0.7891      
0.2615      27.49       0.99        0.1977      1.76        69.9        17.48       0.007057    0.6885      0.8665      0.08687     
2.906       65.7        0.9277      0.3415      1.507       68.4        17.1        0.008781    0.7         0.3251      0.2051      
1.051       56.53       0.9476      0.4241      2.113       75.78       18.94       0.008831    0.6308      1.723       0.3525      
3.759       27.16       0.9231      0.3523      1.367       39.71       9.928       0.006131    0.661       0.01263     0.376       
2.655       47.94       0.927       0.411       1.7         42.71       10.68       0.007567    0.783       0.8804      0.7022      
0.3246      46.46       0.9674      0.4845      2.146       74.76       18.69       0.004357    0.8004      0.9685      0.9583      
3.127       58.78       0.9126      0.147       1.696       50.4        12.6        0.005032    0.6863      0.6266      0.564       
0.3499      68.06       0.9743      0.4514      1.276       48.88       12.22       0.005876    0.7494      0.8047      0.9707      
4.277       47.78       0.8886      0.4408      1.628       44.84       11.21       0.00684     0.7496      0.9877      0.6948      
3.547       38.88       0.8993      0.46        1.83        68.21       17.05       0.003983    0.7425      0.4528      0.3158      
3.391       58.59       0.9118      0.4643      1.541       35.5        8.874       0.006872    0.7892      0.4243      0.5195      
2.872       48.31       0.9418      0.2965      1.43        35.31       8.827       0.006091    0.65        0.9387      0.2743      
0.291       40.62       0.9602      0.1244      1.616       51.94       12.99       0.00874     0.7008      1.341       0.5499      
0.7303      30.26       0.9551      0.4193      1.539       32.04       8.011       0.006367    0.7628      1.665       0.8299      
1.719       54.88       0.9255      0.3441      1.88        61.23       15.31       0.005615    0.8071      1.082       0.1084      
0.4539      24.24       0.9599      0.3972      1.399       76.6        19.15       0.01071     0.7336      0.1047      0.2595      
0.1029      43.65       0.9829      0.1887      1.297       88.08       22.02       0.01066     0.6261      0.9353      0.7601      
1.195       55.82       0.9429      0.2481      1.355       39          9.749       0.007376    0.7927      0.8574      0.4044      
0.2734      53.33       0.9625      0.1641      1.29        29.67       7.418       0.008198    0.6306      0.4351      0.5932      
1.27        21.35       0.9618      0.2388      1.447       83.67       20.92       0.007435    0.7499      0.5136      0.5714      
0.4877      9.707       0.9696      0.1144      1.781       57.84       14.46       0.009551    0.6603      0.7814      0.9473      
1.763       11.3        0.9558      0.2934      2.03        39.13       9.782       0.005795    0.6418      0.8863      0.5189      
2.468       50.27       0.9173      0.1196      1.339       61.58       15.4        0.00895     0.8043      0.2473      0.8308      
4.294       47.45       0.8884      0.2728      1.773       47.65       11.91       0.007924    0.6743      0.558       0.4903      
0.2857      51.3        0.9654      0.2124      1.408       24.78       6.194       0.01071     0.6573      1.62        0.06891     
0.2735      72.4        0.9915      0.2975      1.313       44.33       11.08       0.007159    0.7904      0.7877      0.4751      
0.4653      47.19       0.9831      0.154       1.9         84.01       21          0.007647    0.6116      1.287       0.4901      
1.696       71          0.9253      0.3922      1.57        58.72       14.68       0.006185    0.707       1.603       0.5147      
0.08416     64.13       0.9656      0.3032      1.458       79.41       19.85       0.009162    0.6357      1.026       0.1843      
1.401       32.34       0.9491      0.2757      1.675       60.67       15.17       0.006964    0.7817      0.4062      0.9188      
0.6908      63.2        0.9536      0.1307      1.801       25.1        6.274       0.003726    0.6246      1.354       0.7928      
0.3707      35.12       0.9722      0.3651      1.968       51.09       12.77       0.007942    0.7173      1.823       0.3151      
0.9974      64.34       0.9567      0.3707      2.089       32.88       8.22        0.009523    0.6306      0.6676      0.6913      
2.834       29.11       0.9335      0.4816      1.616       56.94       14.23       0.006849    0.7642      1.288       0.6011      
0.3132      6.353       0.9689      0.4195      1.91        44.25       11.06       0.007695    0.7283      0.4957      0.03894     
0.2135      46.83       0.9523      0.401       1.355       27.97       6.992       0.006239    0.6879      1.139       0.2717      
1.003       32.36       0.941       0.3511      1.494       25.12       6.28        0.009544    0.8086      0.8544      0.2429      
1.844       18.33       0.9442      0.4955      1.273       31.78       7.945       0.008074    0.822       1.048       0.1377      
2.219       17.49       0.9518      0.1357      1.603       75.73       18.93       0.004518    0.7809      0.4561      0.4527      
2.611       51.75       0.9343      0.2427      1.543       54.02       13.5        0.004083    0.7236      0.7314      0.5745      
0.3859      48.52       0.9908      0.1391      1.318       41.23       10.31       0.006672    0.666       1.641       0.1658      
1.9         19.38       0.9436      0.4746      1.34        58.55       14.64       0.008152    0.7741      1.126       0.3964      
2.569       19.23       0.929       0.37        1.413       36.11       9.028       0.007127    0.6589      0.5737      0.1687      
4.523       47.83       0.9012      0.4806      1.359       41.25       10.31       0.005034    0.7364      0.4735      0.394       
2.804       49.44       0.9103      0.4802      1.694       47.41       11.85       0.007478    0.729       0.9034      0.3853      
4.484       57.49       0.91        0.4063      1.872       68.82       17.21       0.005739    0.7276      1.071       0.2535      
0.8571      25.52       0.974       0.2619      1.941       33.71       8.427       0.007767    0.7385      1.15        0.7143      
1.647       57.45       0.9524      0.1594      1.519       42.07       10.52       0.005614    0.6857      0.07412     0.5199      
1.054       50.33       0.9776      0.3791      1.421       79.25       19.81       0.003697    0.8319      0.8365      0.5657      
1.516       22.62       0.9636      0.1232      1.588       49.51       12.38       0.004953    0.7821      0.1615      0.6297      
1.223       41.93       0.9639      0.3723      1.632       24.54       6.134       0.009882    0.6782      0.3146      0.464       
0.4141      76.77       0.9807      0.4415      1.827       41.29       10.32       0.01016     0.6367      0.2492      0.7628      
1.072       70.58       0.9423      0.427       1.444       84.02       21.01       0.008527    0.6867      0.7395      0.6791      
1.254       71.89       0.9552      0.3864      1.678       34.48       8.619       0.009935    0.8078      0.5492      0.3182      
1.75        25.3        0.9449      0.1515      1.798       35.48       8.871       0.009572    0.7472      0.7015      0.5329      
3.727       30.48       0.9213      0.2176      1.45        47.77       11.94       0.004842    0.7016      0.567       0.2161      
0.1246      24.85       0.9903      0.3383      1.764       88.92       22.23       0.003327    0.606       1.552       0.1933      
4.293       27.93       0.8999      0.2429      1.854       60.67       15.17       0.003905    0.681       0.5616      0.5738      
1.466       43.62       0.9671      0.2431      2.034       44.29       11.07       0.006558    0.7209      0.9216      0.3731      
1.914       54.66       0.9519      0.2628      2.058       33.74       8.435       0.006514    0.6524      1.012       0.4236      
2.991       34.09       0.9205      0.4451      1.35        65.68       16.42       0.008353    0.791       1.041       0.1857      
2.448       46.41       0.9244      0.4002      1.731       42.22       10.55       0.006363    0.8241      1.064       0.7287      
2.389       68.45       0.936       0.2828      1.545       36.57       9.143       0.00927     0.7103      0.8322      0.4         
3.775       58.43       0.8961      0.3337      1.73        68.95       17.24       0.007757    0.79        0.5593      0.5999      
1.35        58.25       0.9428      0.3842      1.334       46.41       11.6        0.003339    0.7747      1.383       0.6332      
2.54        43.85       0.9473      0.4248      1.533       75.05       18.76       0.006207    0.7593      0.1668      0.3436      
3.533       56.13       0.9214      0.2334      1.502       35.34       8.834       0.004686    0.6668      0.4771      0.6528      
3.985       41.09       0.8965      0.3026      1.913       52.88       13.22       0.007439    0.7123      1.003       0.7413      
1.499       12.59       0.9489      0.328       1.591       62.43       15.61       0.008217    0.6911      0.2516      0.5365      
2.359       52.88       0.9155      0.1717      1.99        76.55       19.14       0.007034    0.6908      0.7023      0.1835      
0.3657      73.64       0.99        0.3278      2.063       30.43       7.609       0.009719    0.7694      1.296       0.4364      
0.4067      72.6        0.9532      0.3636      1.715       22.85       5.712       0.003102    0.8148      1.261       0.4458      
0.1209      74.57       0.9891      0.2939      1.24        61.33       15.33       0.008561    0.7165      1.487       0.3278      
0.5335      42.4        0.9526      0.3394      1.477       71.38       17.84       0.0101      0.6199      0.3562      0.8731      
0.5335      33.74       0.9464      0.1484      1.543       47.25       11.81       0.00822     0.6148      1.426       0.4625      
0.8988      64.36       0.959       0.1327      1.898       64.5        16.13       0.008631    0.8349      0.3567      0.423       
2.694       68.29       0.9443      0.1103      1.973       69.3        17.33       0.007974    0.7858      0.432       0.3094      
1.105       36.53       0.9394      0.1776      1.3         30.56       7.639       0.009196    0.8216      0.9404      0.7877      
0.6507      26.81       0.941       0.1214      1.657       24.92       6.231       0.008612    0.7363      0.6627      0.7091      
0.6494      11.77       0.9593      0.4283      1.707       82.79       20.7        0.004405    0.6781      1.499       0.2842      
1.282       65.51       0.9624      0.3514      1.704       74.72       18.68       0.005697    0.8123      1.47        0.1324      
0.1441      34.25       0.9754      0.4605      1.722       40.6        10.15       0.008058    0.7097      0.6796      0.7593      
1.372       10.1        0.9688      0.4299      1.803       76.51       19.13       0.005284    0.7126      0.3104      0.6531      
2.124       45.86       0.9554      0.318       1.325       79.26       19.81       0.006867    0.7431      0.2078      0.7245      
3.028       27.21       0.9269      0.2777      1.79        67.77       16.94       0.007996    0.8192      1.333       0.4255      
3.673       53.5        0.9045      0.2277      1.326       45.99       11.5        0.008223    0.7068      1.232       0.6308      
2.006       22.45       0.9401      0.4623      1.51        79.04       19.76       0.004093    0.8015      0.5344      0.7821      
0.6962      11.6        0.9551      0.3554      1.495       66.83       16.71       0.00573     0.7366      0.4379      0.8144      
1.621       46.45       0.9422      0.2719      1.293       28.32       7.08        0.004599    0.6576      1.145       0.4614      
4.294       52.41       0.8916      0.1522      1.525       43.19       10.8        0.008118    0.7159      0.2352      0.4979      
2.131       32.03       0.9493      0.1495      1.787       45.25       11.31       0.009265    0.678       0.1487      0.492       
1.709       56.85       0.9644      0.1288      1.382       76.37       19.09       0.009578    0.6853      1.116       0.6059      
1.05        36.96       0.961       0.2996      2.059       26.36       6.59        0.005767    0.7162      0.8017      0.8075      
1.335       74.16       0.9338      0.2271      1.623       76.88       19.22       0.004394    0.6464      1.186       0.3372      
3.236       30.01       0.9218      0.2066      1.708       52.14       13.03       0.004462    0.785       0.4982      0.4451      
4.631       45.27       0.9016      0.2675      1.458       46.62       11.65       0.005052    0.6787      0.2224      0.6569      
0.5254      14.57       0.948       0.344       1.579       66.42       16.6        0.003523    0.6246      0.728       0.6437      
1.484       68.65       0.9664      0.4432      1.789       29.4        7.351       0.004376    0.8299      0.9533      0.8216      
0.701       39.88       0.9771      0.2517      2.056       37.28       9.32        0.00675     0.7061      0.393       0.681       
0.5897      20.39       0.957       0.1619      1.577       56.82       14.2        0.007693    0.665       1.786       0.8822      
0.2531      6.858       0.9666      0.1794      1.615       38.37       9.593       0.00652     0.6072      0.8707      0.1211      
0.4419      64.31       0.9573      0.4539      1.67        25.17       6.294       0.005752    0.8212      0.302       0.1352      
1.362       45.22       0.9357      0.1697      1.296       67.71       16.93       0.005131    0.7337      0.8729      0.7301      
2.124       18.32       0.9403      0.1272      1.915       53.61       13.4        0.006449    0.677       0.05909     0.7382      
0.6972      42.3        0.9452      0.3449      2.12        35.94       8.985       0.003443    0.828       0.5264      0.1871      
1.1         18.39       0.9601      0.2055      1.653       38.74       9.685       0.00864     0.8104      0.9796      0.3818      
1.356       55.17       0.9505      0.1221      1.59        27.46       6.865       0.004752    0.6529      0.08147     0.6785      
0.5083      47.05       0.9425      0.1027      1.228       33.77       8.444       0.007436    0.7701      0.664       0.05996     
1.19        41.01       0.943       0.4455      1.577       38.42       9.606       0.004718    0.7911      0.87        0.08372     
4.656       29.37       0.8917      0.1236      1.402       39.12       9.781       0.007784    0.7406      0.1759      0.4351      
0.1422      61.45       0.9571      0.1164      1.289       42.64       10.66       0.00957     0.6118      0.6614      0.2408      
0.7289      52.01       0.9482      0.2955      1.994       60.62       15.15       0.009958    0.7623      1.175       0.4936      
1.999       35.72       0.9208      0.4622      1.443       51          12.75       0.005403    0.7936      1.272       0.5513      
1.279       49.41       0.9338      0.4543      1.968       70.77       17.69       0.006885    0.656       0.2469      0.5642      
1.939       20.68       0.9244      0.2977      1.87        54.91       13.73       0.00977     0.7524      1.262       0.7216      
1.134       71.29       0.9558      0.2548      1.666       47.54       11.89       0.009399    0.7124      1.229       0.5273      
0.6485      74.27       0.9433      0.1028      1.683       85.51       21.38       0.003521    0.7349      1.407       0.4293      
3.911       56.42       0.9102      0.1122      1.616       61.22       15.3        0.006263    0.6849      0.6363      0.3078      
1.321       62.19       0.969       0.1628      2.054       58.45       14.61       0.003778    0.6478      0.5081      0.823       
0.6933      26.18       0.9741      0.1949      2.066       47.03       11.76       0.008443    0.6203      0.6194      0.46        
2.665       65.68       0.9318      0.2088      1.474       48.28       12.07       0.005863    0.7552      0.6525      0.3071      
1.994       13.63       0.9258      0.1169      1.49        67.92       16.98       0.003758    0.7894      1.161       0.5851      
1.527       45.79       0.9628      0.4111      1.979       47.76       11.94       0.00663     0.6497      1.221       0.1843      
3.574       51.24       0.8985      0.2081      1.87        50.88       12.72       0.007629    0.6795      0.5624      0.6274      
2.362       62.66       0.9201      0.3011      1.416       52.32       13.08       0.007995    0.7394      0.04479     0.7681      
0.6305      32.13       0.9473      0.4694      1.894       48.11       12.03       0.009612    0.6275      1.237       0.1876      
0.4305      77.51       0.9669      0.3611      1.853       64.63       16.16       0.008434    0.6538      0.8498      0.8139      
4.385       41.72       0.8868      0.4731      1.409       56.53       14.13       0.005367    0.7205      1.001       0.4792      
0.614       62.6        0.9765      0.3706      2.146       66.48       16.62       0.007464    0.7165      0.1488      0.5877      
0.997       52.04       0.949       0.3423      2.1         30.46       7.614       0.004523    0.6504      0.8991      0.5267      
1.785       19.67       0.9247      0.4567      1.785       75.69       18.92       0.004361    0.7401      1.506       0.5621      
1.127       31.04       0.9437      0.3876      1.459       62.99       15.75       0.005437    0.6583      0.2486      0.7575      
3.067       53.56       0.9366      0.2596      1.405       37.41       9.352       0.008916    0.6624      1.078       0.6945      
3.263       51.1        0.9067      0.3755      1.353       63.19       15.8        0.007174    0.6517      0.3564      0.6276      
2.82        54.55       0.9232      0.3641      1.691       54.81       13.7        0.008882    0.7772      0.3648      0.5088      
1.851       21.71       0.9238      0.1289      1.9         25.83       6.457       0.004409    0.7404      1.321       0.4129      
4.81        38.08       0.8814      0.1594      1.353       67.74       16.94       0.006251    0.7039      0.9407      0.6099      
1.625       29.8        0.9347      0.1684      1.684       50.32       12.58       0.006084    0.6999      1.271       0.2026      
1.638       38.65       0.9639      0.4455      1.688       38.28       9.57        0.009855    0.6564      0.4438      0.7791      
2.468       14.31       0.9381      0.4708      1.481       76.88       19.22       0.004875    0.6506      1.04        0.4558      
1.255       33          0.9526      0.313       1.975       48.38       12.1        0.00431     0.6822      0.7288      0.4017      
1.46        37.93       0.9511      0.3223      1.929       73.54       18.39       0.007786    0.6969      0.1197      0.1977      
0.4828      71.58       0.9872      0.3546      1.517       79.18       19.8        0.007925    0.6359      1.533       0.05336     
0.6462      39.08       0.9727      0.1589      1.464       43.58       10.89       0.005094    0.8268      1.803       0.7711      
1.57        31.27       0.949       0.4263      1.655       39.3        9.826       0.007365    0.6567      1.514       0.4846      
2.361       53.35       0.9335      0.2051      1.623       36.62       9.154       0.007583    0.6915      1.213       0.778       
2.076       39.21       0.9523      0.4971      1.878       63.03       15.76       0.007053    0.6828      1.401       0.7504      
2.303       69.91       0.9286      0.4776      1.949       61.99       15.5        0.003973    0.712       1.215       0.5916      
1.428       33.19       0.9499      0.4122      1.873       36.02       9.006       0.004692    0.7655      0.402       0.7365      
1.256       14.6        0.9462      0.2823      1.792       58.01       14.5        0.007325    0.6336      1.45        0.0653      
3.073       22.42       0.9091      0.2801      1.479       72.17       18.04       0.006542    0.7917      1.362       0.3932      
0.8077      31.52       0.9605      0.2512      1.259       45.85       11.46       0.01041     0.7145      1.109       0.2847      
0.3179      31.33       0.992       0.4518      1.389       82.33       20.58       0.004252    0.7635      0.2796      0.9189      
1.286       68.13       0.942       0.1672      1.784       71.8        17.95       0.009928    0.7856      0.5158      0.6051      
1.882       33.41       0.9551      0.2333      2.021       58.95       14.74       0.005062    0.669       0.3686      0.8414      
0.7418      59.59       0.9793      0.3962      1.694       71.1        17.77       0.00866     0.6196      0.9173      0.6724      
0.5941      9.905       0.9608      0.2264      1.755       56.83       14.21       0.009701    0.6178      0.3813      0.6481      
1.272       32.24       0.9621      0.2107      1.947       80.75       20.19       0.008937    0.6988      0.7462      0.4904      
2.932       25.71       0.9203      0.3098      1.885       63.61       15.9        0.005067    0.7289      0.09721     0.2325      
1.913       67.85       0.9416      0.3656      1.473       79.53       19.88       0.006336    0.7287      1.146       0.5182      
1.235       57.74       0.96        0.107       1.677       51.35       12.84       0.007872    0.736       1.301       0.738       
1.39        63.23       0.937       0.2337      2.079       30.23       7.557       0.008374    0.6816      0.8526      0.5094      
0.7611      70.16       0.9531      0.4989      1.42        36.9        9.224       0.006013    0.6261      1.351       0.7395      
0.8291      34.93       0.9502      0.4339      1.61        54.24       13.56       0.008627    0.786       1.199       0.4368      
0.6098      69.08       0.9546      0.2526      1.471       39.56       9.89        0.007846    0.7302      1.344       0.4594      
0.5608      51.83       0.9676      0.4567      2.157       53.33       13.33       0.004173    0.7193      1.024       0.3641      
0.5693      56.11       0.9675      0.1306      2.009       50.96       12.74       0.003759    0.8291      0.3882      0.4313      
2.001       12.14       0.9262      0.289       1.628       43.15       10.79       0.004727    0.6423      0.7731      0.5917      
1.51        42.28       0.9481      0.483       1.579       69.13       17.28       0.004626    0.8043      0.9361      0.6656      
4.588       35.24       0.8825      0.2554      1.556       67.59       16.9        0.005194    0.7578      0.3524      0.4667      
0.4458      19.51       0.9567      0.421       1.431       59.89       14.97       0.005673    0.7628      1.718       0.2338      
1.342       18.9        0.9439      0.4456      1.507       73.88       18.47       0.006801    0.8141      1.419       0.1917      
3.021       53.13       0.9129      0.3963      1.717       40.99       10.25       0.006112    0.8169      1.229       0.7745      
1.574       46.97       0.9494      0.1135      1.251       41.11       10.28       0.004077    0.8272      0.1823      0.583       
1.478       43.27       0.943       0.2266      2.046       71.31       17.83       0.006465    0.6608      1.1         0.3738      
3.147       41.38       0.9064      0.3337      1.533       50.02       12.5        0.005259    0.8034      1.029       0.1773      
1.236       58.9        0.952       0.4035      1.645       74.89       18.72       0.003602    0.6235      0.8766      0.586       
1.341       56.29       0.9666      0.2321      1.858       27.06       6.766       0.004054    0.8301      0.3762      0.4264      
1.955       55.16       0.9519      0.2115      1.425       77.49       19.37       0.006459    0.7076      0.704       0.8961      
2.73        38.35       0.933       0.4456      1.454       54.56       13.64       0.008008    0.665       1.028       0.6638      
2.852       47.66       0.9309      0.2163      1.78        72.1        18.03       0.00627     0.7635      0.5229      0.2096      
0.3712      73          0.9824      0.4193      1.249       83.75       20.94       0.01009     0.7974      0.7578      0.6579      
4.349       44.59       0.892       0.4801      1.652       62.01       15.5        0.006679    0.7828      0.8841      0.3728      
0.509       12.72       0.981       0.4149      2.093       59.12       14.78       0.008946    0.7497      1.895       0.2151      
4.568       44.65       0.8977      0.4172      1.783       40.89       10.22       0.006185    0.7778      0.4631      0.2726      
1.126       46.79       0.9391      0.2942      2.067       31.39       7.848       0.007246    0.8116      1.075       0.4274      
1.204       22.16       0.9571      0.2008      1.309       43.39       10.85       0.009331    0.7406      1.676       0.2813      
2.432       62.02       0.951       0.3751      1.946       67.12       16.78       0.008795    0.7626      1.383       0.7131      
0.6927      31.82       0.9489      0.4308      1.777       61.45       15.36       0.003799    0.6992      0.008208    0.07497     
2.199       21.27       0.95        0.1703      1.691       25.81       6.453       0.005367    0.7479      1.265       0.7801      
1.671       18.55       0.935       0.468       2.044       50.47       12.62       0.008114    0.8283      0.8947      0.4018      
3.509       42.08       0.9073      0.4216      1.609       60.19       15.05       0.006906    0.7906      1.124       0.1987      
1.284       13.11       0.9478      0.1163      1.667       43.86       10.97       0.007023    0.7564      1.231       0.7304      
0.6114      16.55       0.9697      0.3085      2.007       83.72       20.93       0.008633    0.6156      1.442       0.4313      
0.3409      66.52       0.9627      0.3461      1.542       72.27       18.07       0.006946    0.693       1.49        0.5419      
0.8038      16.48       0.9581      0.236       2.123       75.87       18.97       0.009245    0.7153      0.3808      0.4849      
0.8575      43.27       0.9489      0.134       1.411       53.3        13.32       0.004706    0.8338      1.529       0.607       
0.2414      75.67       0.9892      0.3868      1.742       48.74       12.18       0.007665    0.7319      0.3904      0.1769      
3.923       20.43       0.9106      0.4076      1.85        33.42       8.356       0.004763    0.7182      0.1998      0.7301      
1.195       51.96       0.9524      0.3043      1.977       82.72       20.68       0.008519    0.8023      0.7232      0.9102      
1.952       27.4        0.9271      0.1904      1.432       32.73       8.182       0.005905    0.7242      1.328       0.5724      
